category_name,category_url
Fresh Food,https://www.tesco.com/groceries/en-GB/shop/fresh-food/all
Bakery,https://www.tesco.com/groceries/en-GB/shop/bakery/all
Frozen Food,https://www.tesco.com/groceries/en-GB/shop/frozen-food/all
Treats & Snacks,https://www.tesco.com/groceries/en-GB/shop/treats-and-snacks/all
Food Cupboard,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all
Drinks,https://www.tesco.com/groceries/en-GB/shop/drinks/all
Baby & Toddler,https://www.tesco.com/groceries/en-GB/shop/baby-and-toddler/all
Health & Beauty,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all
Pets,https://www.tesco.com/groceries/en-GB/shop/pets/all
Household,https://www.tesco.com/groceries/en-GB/shop/household/all
Home & Ents,https://www.tesco.com/groceries/en-GB/shop/home-and-ents/all
